date,time,open,high,low,close,tickVolume
2007.01.02,00:00,2.3899,2.391,2.3882,2.3894,583
2007.01.02,01:00,2.3893,2.3897,2.3867,2.3873,812
2007.01.02,02:00,2.3872,2.3883,2.3866,2.3879,749
2007.01.02,03:00,2.3873,2.3881,2.3865,2.387,495
2007.01.02,04:00,2.3867,2.3882,2.3866,2.3871,384
2007.01.02,05:00,2.3874,2.3878,2.3867,2.3875,452
2007.01.02,06:00,2.3876,2.3883,2.3866,2.387,423
2007.01.02,07:00,2.3875,2.3875,2.3852,2.3858,630
2007.01.02,08:00,2.386,2.391,2.3852,2.3887,747
2007.01.02,09:00,2.3886,2.393,2.3884,2.3916,1067
2007.01.02,10:00,2.3915,2.3935,2.3891,2.3919,937
2007.01.02,11:00,2.3916,2.3939,2.3884,2.3897,1127
2007.01.02,12:00,2.3898,2.3908,2.3884,2.3892,1308
2007.01.02,13:00,2.3894,2.3913,2.3873,2.3906,892
2007.01.02,14:00,2.3907,2.3943,2.3902,2.3925,1543
2007.01.02,15:00,2.3928,2.3939,2.3914,2.3916,692
2007.01.02,16:00,2.3915,2.3936,2.3913,2.3936,989
2007.01.02,17:00,2.3937,2.3942,2.3922,2.3928,836
2007.01.02,18:00,2.3927,2.3935,2.3921,2.3922,358
2007.01.02,19:00,2.3924,2.3938,2.3921,2.393,352
2007.01.02,20:00,2.3931,2.3935,2.3924,2.393,222
2007.01.02,21:00,2.3927,2.3945,2.3924,2.3932,272
2007.01.02,22:00,2.3933,2.3951,2.3929,2.3951,286
2007.01.02,23:00,2.3948,2.3955,2.3923,2.3935,274
2007.01.03,00:00,2.3933,2.3944,2.3926,2.3941,323
2007.01.03,01:00,2.3939,2.3948,2.3931,2.3936,337
2007.01.03,02:00,2.3937,2.3947,2.3935,2.3943,353
2007.01.03,03:00,2.3942,2.3946,2.3931,2.394,301
2007.01.03,04:00,2.3941,2.3948,2.3936,2.3945,359
2007.01.03,05:00,2.3944,2.3947,2.3923,2.3939,462
2007.01.03,06:00,2.3943,2.3944,2.393,2.3936,295
2007.01.03,07:00,2.3938,2.3976,2.3936,2.3967,425
2007.01.03,08:00,2.3966,2.3975,2.395,2.3964,837
2007.01.03,09:00,2.3967,2.399,2.3961,2.3973,948
2007.01.03,10:00,2.3972,2.3993,2.3965,2.3978,1078
2007.01.03,11:00,2.3979,2.3996,2.3944,2.3956,1507
2007.01.03,12:00,2.3957,2.3965,2.3925,2.3936,878
2007.01.03,13:00,2.3937,2.3952,2.3898,2.3906,906
2007.01.03,14:00,2.3908,2.3915,2.3859,2.3868,1451
2007.01.03,15:00,2.3866,2.388,2.3854,2.3858,1219
2007.01.03,16:00,2.3856,2.3918,2.3845,2.3894,1776
2007.01.03,17:00,2.3892,2.3918,2.3887,2.3905,1141
2007.01.03,18:00,2.3903,2.3962,2.3903,2.3952,846
2007.01.03,19:00,2.3954,2.3956,2.3924,2.3936,478
2007.01.03,20:00,2.3934,2.3939,2.3901,2.3901,931
2007.01.03,21:00,2.3899,2.3916,2.3898,2.3913,335
2007.01.03,22:00,2.3912,2.393,2.3911,2.3922,335
2007.01.03,23:00,2.3923,2.3925,2.3904,2.3904,418
2007.01.04,00:00,2.3905,2.3919,2.3898,2.3909,348
2007.01.04,01:00,2.391,2.3917,2.3899,2.3908,395
2007.01.04,02:00,2.3909,2.3916,2.3902,2.3915,449
2007.01.04,03:00,2.3913,2.3919,2.3907,2.3911,278
2007.01.04,04:00,2.391,2.3925,2.3909,2.392,331
2007.01.04,05:00,2.3918,2.3928,2.3909,2.3909,362
2007.01.04,06:00,2.3911,2.3926,2.3906,2.3921,373
2007.01.04,07:00,2.3918,2.3933,2.3911,2.3928,524
2007.01.04,08:00,2.393,2.393,2.389,2.3894,917
2007.01.04,09:00,2.3896,2.3914,2.3871,2.3883,1519
2007.01.04,10:00,2.3881,2.3931,2.3866,2.3917,1143
2007.01.04,11:00,2.3918,2.3942,2.3913,2.3933,1001
2007.01.04,12:00,2.3931,2.3946,2.3913,2.3941,795
2007.01.04,13:00,2.3939,2.3954,2.3923,2.3936,818
2007.01.04,14:00,2.3935,2.3944,2.3889,2.3892,1222
2007.01.04,15:00,2.3893,2.3944,2.3893,2.3934,1349
2007.01.04,16:00,2.3936,2.3947,2.3923,2.3933,1465
2007.01.04,17:00,2.3931,2.3955,2.3924,2.3936,1087
2007.01.04,18:00,2.3938,2.3956,2.3932,2.3955,637
2007.01.04,19:00,2.3956,2.3963,2.3946,2.3959,342
2007.01.04,20:00,2.3958,2.3975,2.3953,2.3962,508
2007.01.04,21:00,2.3964,2.3969,2.3955,2.396,312
2007.01.04,22:00,2.3961,2.3964,2.3946,2.3948,331
2007.01.04,23:00,2.3949,2.3968,2.3944,2.3953,316
2007.01.05,00:00,2.3952,2.3957,2.3934,2.3937,569
2007.01.05,01:00,2.3939,2.3944,2.3912,2.3912,458
2007.01.05,02:00,2.3908,2.3913,2.3889,2.3895,535
2007.01.05,03:00,2.3897,2.3902,2.3876,2.3884,402
2007.01.05,04:00,2.3882,2.389,2.3871,2.3872,635
2007.01.05,05:00,2.3873,2.3879,2.3844,2.3858,512
2007.01.05,06:00,2.386,2.3868,2.3855,2.3861,293
2007.01.05,07:00,2.386,2.3871,2.3841,2.3846,495
2007.01.05,08:00,2.3847,2.3865,2.382,2.3862,1050
2007.01.05,09:00,2.386,2.3865,2.3848,2.3853,1007
2007.01.05,10:00,2.3854,2.3865,2.383,2.3848,861
2007.01.05,11:00,2.3846,2.3853,2.3821,2.3827,768
2007.01.05,12:00,2.3826,2.3842,2.3815,2.384,721
2007.01.05,13:00,2.3842,2.386,2.3835,2.3853,699
2007.01.05,14:00,2.3855,2.3899,2.3847,2.3879,1860
2007.01.05,15:00,2.3881,2.3903,2.3876,2.3882,1462
2007.01.05,16:00,2.388,2.3891,2.3856,2.3863,1271
2007.01.05,17:00,2.3865,2.3878,2.3842,2.3865,1234
2007.01.05,18:00,2.3864,2.3879,2.3859,2.386,633
2007.01.05,19:00,2.3858,2.3865,2.3847,2.3852,430
2007.01.05,20:00,2.3853,2.3855,2.3838,2.3843,423
2007.01.05,21:00,2.3844,2.3854,2.3839,2.3849,294
2007.01.05,22:00,2.3851,2.3855,2.3828,2.3853,390
2007.01.08,00:00,2.384,2.3852,2.3837,2.384,213
2007.01.08,01:00,2.3841,2.3852,2.3829,2.3842,781
2007.01.08,02:00,2.3837,2.3846,2.3827,2.3827,643
2007.01.08,03:00,2.3828,2.3839,2.3826,2.3837,269
2007.01.08,04:00,2.3836,2.3853,2.3833,2.3845,225
2007.01.08,05:00,2.3844,2.3849,2.3839,2.3844,227
2007.01.08,06:00,2.3842,2.3853,2.3837,2.3842,322
2007.01.08,07:00,2.3841,2.3878,2.384,2.3878,425
2007.01.08,08:00,2.3876,2.3885,2.3866,2.3874,801
2007.01.08,09:00,2.3875,2.388,2.3856,2.3865,743
2007.01.08,10:00,2.3864,2.3891,2.3864,2.3882,598
2007.01.08,11:00,2.3883,2.3902,2.388,2.3897,626
2007.01.08,12:00,2.3895,2.3924,2.3893,2.3914,559
2007.01.08,13:00,2.3916,2.3916,2.3892,2.3902,451
2007.01.08,14:00,2.3903,2.3937,2.3895,2.393,896
2007.01.08,15:00,2.3931,2.3932,2.3903,2.3929,932
2007.01.08,16:00,2.393,2.3943,2.3925,2.3926,896
2007.01.08,17:00,2.3927,2.3951,2.3922,2.3949,723
2007.01.08,18:00,2.3951,2.3951,2.393,2.3937,732
2007.01.08,19:00,2.3938,2.395,2.393,2.3941,557
2007.01.08,20:00,2.3944,2.3962,2.3935,2.3959,479
2007.01.08,21:00,2.396,2.3966,2.3953,2.3959,373
2007.01.08,22:00,2.3958,2.3963,2.395,2.3959,316
2007.01.08,23:00,2.3958,2.3965,2.3953,2.3962,306
2007.01.09,00:00,2.396,2.3965,2.3953,2.396,449
2007.01.09,01:00,2.3958,2.3983,2.3955,2.3979,656
2007.01.09,02:00,2.398,2.399,2.3977,2.3983,428
2007.01.09,03:00,2.3982,2.4008,2.398,2.4002,363
2007.01.09,04:00,2.4004,2.4026,2.4001,2.4021,443
